,,,,,,,,,,,,,,,
"Stock Market Data Used in ""Irrational Exuberance"" Princeton University Press, 2000, 2005, 2015, updated",,,,,,,,,,,,Cyclically,,Cyclically ,
Robert J. Shiller ,,,,,,,,,,,,Adjusted,,Adjusted,
,,,,,,,,,,,,Price,,Total Return Price,
,,,,  Consumer,,,,,Real,,Real,Earnings,,Earnings,
,S&P,,,Price,,Long,,,Total,,TR,Ratio,,Ratio,
,Comp.,Dividend,Earnings,Index,Date  ,Interest,Real,Real,Return,Real,Scaled,P/E10 or,,TR P/E10 or,
Date,P,D,E,CPI,Fraction,Rate GS10,Price,Dividend,Price,Earnings,Earnings,CAPE,,TR CAPE,
1880.03,5.30,0.22,0.41,10.09,1880.21,3.97,136.22,5.53,242.59,10.47,18.65,NA,,NA,
1880.04,5.18,0.22,0.42,9.70,1880.29,3.94,138.35,5.88,247.27,11.13,19.89,NA,,NA,
1880.05,4.77,0.23,0.43,9.42,1880.37,3.91,131.26,6.19,235.52,11.72,21.02,NA,,NA,
1880.06,4.79,0.23,0.44,9.23,1880.46,3.89,134.53,6.46,242.35,12.22,22.01,NA,,NA,
1880.07,5.01,0.24,0.44,9.23,1880.54,3.86,140.71,6.60,254.47,12.48,22.56,NA,,NA,
1880.08,5.19,0.24,0.45,9.23,1880.62,3.83,145.77,6.74,264.63,12.73,23.11,NA,,NA,
1880.09,5.18,0.25,0.46,9.32,1880.71,3.81,144.00,6.81,262.46,12.86,23.43,NA,,NA,
1880.1,5.33,0.25,0.47,9.32,1880.79,3.78,148.17,6.95,271.11,13.11,23.99,NA,,NA,
1880.11,5.61,0.26,0.48,9.42,1880.87,3.75,154.38,7.02,283.54,13.23,24.30,NA,,NA,
1880.12,5.84,0.26,0.49,9.51,1880.96,3.73,159.10,7.08,293.30,13.35,24.61,NA,,NA,
1881.01,6.19,0.27,0.49,9.42,1881.04,3.70,170.34,7.29,315.14,13.37,24.73,18.47,,24.14,
1881.02,6.17,0.27,0.48,9.51,1881.12,3.69,168.09,7.36,312.11,13.12,24.37,18.15,,23.66,
1881.03,6.24,0.28,0.48,9.51,1881.21,3.69,170.00,7.49,316.81,13.01,24.24,18.27,,23.77,
1881.04,6.22,0.28,0.47,9.61,1881.29,3.68,167.78,7.55,313.84,12.77,23.88,17.95,,23.31,
1881.05,6.50,0.29,0.47,9.51,1881.37,3.67,177.08,7.76,332.46,12.78,24.00,18.87,,24.46,
1881.06,6.58,0.29,0.47,9.51,1881.46,3.67,179.26,7.90,337.79,12.67,23.87,19.03,,24.62,
1881.07,6.35,0.30,0.46,9.61,1881.54,3.66,171.28,7.96,324.00,12.43,23.51,18.12,,23.40,
1881.08,6.20,0.30,0.46,9.80,1881.62,3.65,163.99,7.93,311.46,12.08,22.94,17.29,,22.29,
1881.09,6.25,0.31,0.45,10.18,1881.71,3.65,159.13,7.77,303.46,11.52,21.97,16.72,,21.54,
1881.1,6.15,0.31,0.45,10.28,1881.79,3.64,155.14,7.82,297.08,11.31,21.66,16.26,,20.93,
1881.11,6.19,0.32,0.44,10.18,1881.87,3.63,157.60,8.02,303.09,11.31,21.75,16.48,,21.19,
1881.12,6.01,0.32,0.44,10.18,1881.96,3.63,153.02,8.15,295.58,11.20,21.64,15.96,,20.51,
1882.01,5.92,0.32,0.44,10.18,1882.04,3.62,150.73,8.15,292.47,11.18,21.70,15.68,,20.14,
1882.02,5.79,0.32,0.44,10.28,1882.12,3.62,146.05,8.07,284.70,11.06,21.55,15.15,,19.46,
1882.03,5.78,0.32,0.44,10.28,1882.21,3.62,145.80,8.07,285.52,11.04,21.61,15.09,,19.38,
1882.04,5.78,0.32,0.44,10.37,1882.29,3.62,144.46,8.00,284.21,10.91,21.47,14.92,,19.15,
1882.05,5.71,0.32,0.44,10.47,1882.37,3.62,141.42,7.93,279.51,10.79,21.33,14.57,,18.70,
1882.06,5.68,0.32,0.44,10.56,1882.46,3.62,139.41,7.85,276.83,10.68,21.20,14.33,,18.39,
1882.07,6.00,0.32,0.43,10.47,1882.54,3.63,148.60,7.93,296.40,10.75,21.45,15.24,,19.56,
1882.08,6.18,0.32,0.43,10.56,1882.62,3.63,151.68,7.85,303.85,10.63,21.30,15.53,,19.91,
1882.09,6.24,0.32,0.43,10.28,1882.71,3.63,157.41,8.07,316.66,10.91,21.95,16.08,,20.62,
1882.1,6.07,0.32,0.43,10.18,1882.79,3.63,154.55,8.15,312.28,10.99,22.21,15.76,,20.19,
1882.11,5.81,0.32,0.43,10.09,1882.87,3.63,149.32,8.22,303.11,11.07,22.48,15.19,,19.47,
1882.12,5.84,0.32,0.43,9.99,1882.96,3.63,151.52,8.30,308.98,11.16,22.75,15.38,,19.70,
1883.01,5.81,0.32,0.43,9.99,1883.04,3.63,150.75,8.32,308.81,11.09,22.72,15.27,,19.56,
1883.02,5.68,0.32,0.43,10.09,1883.12,3.63,145.98,8.27,300.46,10.92,22.48,14.76,,18.90,
1883.03,5.75,0.32,0.42,9.99,1883.21,3.63,149.19,8.37,308.50,10.96,22.67,15.05,,19.27,
1883.04,5.87,0.32,0.42,9.90,1883.29,3.63,153.77,8.47,319.42,11.00,22.85,15.48,,19.82,
1883.05,5.77,0.32,0.42,9.80,1883.37,3.63,152.62,8.58,318.51,11.04,23.05,15.34,,19.63,
1883.06,5.82,0.33,0.42,9.51,1883.46,3.63,158.56,8.85,332.45,11.31,23.71,15.90,,20.36,
1883.07,5.73,0.33,0.41,9.32,1883.54,3.63,159.29,9.06,335.57,11.47,24.16,15.95,,20.41,
1883.08,5.47,0.33,0.41,9.32,1883.62,3.62,152.06,9.08,321.94,11.40,24.13,15.20,,19.45,
1883.09,5.53,0.33,0.41,9.23,1883.71,3.62,155.32,9.20,330.45,11.45,24.35,15.49,,19.83,
1883.1,5.38,0.33,0.41,9.23,1883.79,3.62,151.10,9.22,323.12,11.37,24.32,15.05,,19.26,
